"nombre","titulo_comentario","contenido_comentario"
"M Cocina Árabe","Espectacular!","Se ha convertido en uno de mis restaurantes favoritos trato de ir siempre que puedo. Comida es deliciosa pero puede ser algo pesada, la atención de todos los meseros es excelente. Lo recomiendo para un almuerzo casual en un fin de semana o incluso para...Más"
"Barrio Asian Street Food","Experiencia con mucho sabor, ambiente ameno, excelente música y platos exquisitos...","La atención muy buena porque están cumpliendo el aforo, entonces hay una atención muy personalizada, ambiente agradable, limpio, cordial."
"Chibchombia","Excelente !!!!","Compartir Precios Decoración increíble buenos precios comida exquisita, limpieza atención amabilidad"
"Storia D'amore - Zona T","Excelente!!","Los platos excelentes, presentación maravillosa, atención excepcional. 
Disfrutar de la terraza para almorzar es la mejor opción.Más"
"Black Bear","Buen restaurante de moda.","Fuimos a Black Bear para celebrar una graduación con mi familia.

La comida era estupenda, pedimos algunos platos agrupadas en una comida familiar, todos eran geniales.

El servicio también era muy satisfactorio.

Definitivamente volveremos!"
"Tremenda Sal y Dulce","No lo piense, el lugar está WOW!","Además de ser muy bonito, la comida es excelente. RECOMENDADAS las empanadas d espinacas, únicas en Bogotá. Perfecto para brunch."
"Cerveceria Irlandesa","Lugar agradable","Un lugar con un ambiente agradable, buena música, execelente atención en este caso por parte de Nicolás, hay variedad de cerveza artesanal es de muy buena calidad. Recomendado."
"El Mono Bandido","Visita nueva","No conocíamos el bandido de chapi y nos gustó mucho, vinimos con mis amigos y el sitio, la música, la decoración y atención nos gustaron mucho"
"Piqueteadero Dona Segunda","FRITANGA DELICIOSA","Este sitio se ha caracterizado siempre por su gastronomía que es una delicia,  además al alcance de cualquier bolsillo. Su atención es excelente y de manera impecable."
"Home Burgers","Simple pero justa","Home buerguers tiene un concepto simple que hace que se centren en lo principal. 1 sola hambueguesa, con o sin queso y tocineta, con o sin cebolla y pepinos, con o sin papas y 3 bebidas para escoger... fácil, como debe ser.
La hambueguesa es...Más"
"El Portico","Delicioso Ajiaco","Precioso restaurante, a las fueras de Bogotá , donde puedes degustar, entre otras cosas, ""el mejor ajiaco de la zona"".
El comedor por dentro es muy ""pintoresco"" con decoración típica, y el personal , es muy amable, además del dueño que es muy encantador.

Fuera...Más"
"La Cerveceria","muy agradable","Fuimos con amigos a celebrar un cumpleaños, el ambiente muy chevere, con música en vivo, los nachos deliciosos , las alitas ni se diga, y la cerveza pues muy sabrosa hay mucha variedad. Buen lugar, volveré."
"Niko Cafe","Excelente comida, agradable y precios razonables","La verdad quedé gratamente sorprendida. La comida es deliciosa, buenas proporciones y excelente atención. Los precios de los buenos restaurantes en Bogotá en su mayoría son excesivos y algunas veces las porciones ridículas. Aquí no sucede esto. Además disfrute de poder tener una conversación amena...Más"
"NN Food Hall","Parada Obligada","Después de visitar diferentes sitios como Andrés D.C., Magnolio y Criterion, entre otros, a la ciudad le faltaba un restaurante como NN. La oferta de comida es atractiva y el ambiente del lugar es espectacular. Ideal para ir por la noche pedir un Bloody Orange...Más"
"La Jugueteria","Conociendo el lugar","Una increíble experiencia con un servicio excelente y muy atento además de una comida deliciosa en todos los sentidos 
Iván"
"Tierra Restaurante","Almuerzo","Los platos 10/10 una carta muy extensa, con todos los platos nos fue excelente. Muy recomendado, nos atendió Esneider el servicio de él fue excelente"
"La Jugueteria","Celebración","Súper el ambientes y la atención sobresale, gran sitio para compartir con amigos y familia recomendado, Juan es el mejor en la atención"
"Tanoshii Asian Cuisine & Lounge Bar","N.a","N.a tie me un ambiente agradable, sitio perfecto para pas are entre semana, conversation y distract se de spurs"
"Salvo Patria","Increíble! ¡Fue increíble! :)","Fuimos allí para el viernes por la noche y estaba bastante concurrido. El restaurante no estaba muy lejos de nuestro hotel.

Tuvimos una muy buena y saludable comida allí. Sus creaciones fueron muy interesantes y que sabía deliciosamente único. Para nosotros fue un buen descanso...de la comida colombiana. Su cóctel también era muy sabrosa (y fuerte).

El personal era muy atento y saben lo que están haciendo. Especialmente Laura quien me dieron el nombre de la cuenta, que era muy útil con la información y las alergias de mi marido.

Recomendamos este lugar. Se merece una visita. Si vas en pareja intenta evitar el viernes noche porque era muy ruidoso! Ja :)Más"
"wok","Delicioso !","Sabores consistentes, elaborados y  buena presentación ! Sabores inconfundibles y agradables al paladar ! Recomendado !"
"Las Acacias","Excelente comida típica Colombiana","La buena comida no tiene que ser sofisticada pero si bien hecha.  Me estoy comiendo un ajiaco Santafereño excelente.

Será tal vez una opción más cara que otros lugares populares pero bien vale la pena.

Mucho mejor que otros restaurantes de cadena Colombiana que he...comido. No sé equívoca.

Saludos.Más"
"Restaurante Te Encantare","Para un aniversario","Excelente, amplio, hermosa decoración, buena ubicación. Estuve con mi esposa de aniversario. Nos recibieron con un saludo afectuoso en la entrada. Ya en la mesa la atención fue inigualable. La persona asignada a nuestra mesa y el administrador estuvieron muy pendientes. La comida deliciosa y...Más"
"Arigato","Gran menu","Tienen un menú estupendo, pedí Curry arroz y algunos sushi don buri muy bueno, el servicio era genial. Si te gustó algo lo arreglaron enseguida. La única queja fue que su salsa de soja no era Kikoman. Puede probar la diferencia."
"Pajares Salinas","Uno de los restaurantes mas tradicionales...","Uno de los restaurantes mas tradicionales de Bogota. Caro para una noche cualquiera, pero una buena alternativa para alguna celebración especial."
"Sipote Burrito","Rico!","El burrito es muy rico, la porción es grande, tienen variedad de carnes, salsas, vegetales y aderezos. Recomiendo ir con hambre porque realmente son grandes"
"Viva la Vida","Delicioso! Y un servicio increíble","Vinimos con mi pareja a Viva la Vida porque era un restaurante que siempre habíamos querido probar, y la verdad superó nuestras expectativas!! El servicio de Esneider y Julieth fue excelente, nos explicaron todos los platos y la experiencia a la perfección, y la comida...estuvo súper rica!! Les recomiendo el Maki Amé.Más"
"Prudencia","Interesante sitio. Una carta del mundo muy variada. El servicio muy bueno","Exelente el tema de cada semana un plato campesino diferente de algún país, siempre cambia el menú. 
Muy rica la comida, es un sitio para repetir."
"Leon Mozzarella Bar","IDEAL PARA IR CON GRUPOS","Una grata experiencia gastronómica con los Estudiantes de la Escuela de Gastronomía Mariano Moreno, durante el taller de comportamientos en la mesa y conceptos de los métodos Americano y Europeo. Excelente Comida."
"Bicono","Wow","Trip Advisor en su ranking lo tiene muy bien posicionado y haciendo caso nos fuimos para allá, es un sitio pequeño pero bien organizado aunque si es recomendable hacer reserva previa. El tartar de atún perfecto, el pulpo a la brasa con frijolitos blancos imperdible,...Más"
"Pesquera Jaramillo Parque de la 93","Lo recomiendo me encanta...","Lo recomiendo me encanta la comida de mar, la sopita de cangrejo hmmmm"
"Co","Excelente","Una gran sorpresa en una esquina donde uno no espera encontrar....tanta pasión y dedicación y Sabrosura!!!  Felicidades, Volveremos!"
"Wanka Sangucheria del Peru","Recomendado!!!","La comida es muy rica, a tiempo y excelente atención! El sitio está muy bien ubicado !!! Muy recomendado!!!"
"Inkanto Peruvian Cuisine C.C Multiplaza","El mejor plan de amigas!!","La comida es deliciosa, al igual que las bebidas. El lugar es precioso y la atención ni se diga. Recomendados: Wantanes, las chaufas, el hibiscus y el vaho."
"Aracataca Colombian Steakhouse","¡No te lo pierdas!","Aracataca es, de lejos, uno de los mejores restaurantes colombianos en la ciudad. Recomiendo encarecidamente este restaurante especialmente para extranjeros que quieren probar la comida colombiana.
Menú encantador, una decoración agradable y un servicio excelente."
"La Lupita Restoran","El mejor!!","Después de conocer muchos sitios mexicanos en Bogotá me atrevo a decir que este es el mejor!!! Toda la comida que pedimos fue exquisita los margaritas deliciosos, el sitio es muy bonito y la atención es muy buena, el precio un poco costoso pero los...Más"
"Fish Market La Fragata S.A.","Exquisiteces del mar","Sin duda uno de los mejores restaurantes de Colombia en cuanto a pescados y mariscos. Platos exquisitos, mucha variedad, excelente atención, muy buen ambiente. Los precios de algunos platos son altos, pero supone uno que verdaderamente los vale."
"Tienda de Cafe","Deleite.","Una buena opción para compartir de una buena comida. 
Encontrarás un ambiente agradable. 
Con un excelente servicio."
"Il Magazzino Italiano","Una comida maravillosa!","Realmente una delicia de comida y excelente servicio. Volvería un millón de veces!
Pedimos pizza, lasagna y carne TODO fue muy rico!"
"Entre Cuates","Muy buen lugar!","Reservamos para 10 personas. Llegamos y tenían todo listo. Me gusto la decoración,  toda por supuesto muy mexicana. El servicio, excelente. Pedimos entradas, diferentes platos fuertes, bebidas. Todo estuvo perfecto. La comida nos pareció deliciosa. 
Además teníamos música mexicana de fondo. Todo perfecto. Muy recomendado!"
"Brasa Brasil ","IDEAL PARA ANIVERSARIO","Una atención muy amable y atenta, gran variedad en platos, y una barra de ensaladas espectacular me encantó, 100% recomendado!!!!!!"
"Restaurante la Puerta de la Catedral","Simplemente excelente","Por mucho en esta zona de lo bueno es lo mejor quizá no tenga mucha variedad pero lo que hay está hecho con amor... Saben lo que hacen!!! Bendiciones y mucho éxitos llevan un muy buen camino..."
"Flambée Bistró & Café","Excelente servicio","El restaurante cuenta con excelente servicio, la comida es deliciosa, el personal es muy atento y asertivo. 

Cuentan con opción vegetariana y el ambiente es espectacular."
"Tanoshii Asian Cuisine & Lounge Bar","Muy buena atencion, licor y comida","Estuve ayer sábado en Tanoshii del hotel Marriott y fui a beber una cerveza y a comer algo y fui recibido por una muy buena atención por parte del Bartender Oswaldo, me tome una club Colombia por cierto muy buena cerveza y me comí unas...Más"
"Madre","Excelente","Estuve con mi pareja y nos encantó ! Volveríamos nuevamente. Muchas gracias por tan excelente servicio"
"Amen Ramen","Buena experiencia de comida japonesa","Un ambiente muy agradable. Muy recomendado el Amen Ramen, plato de la casa. Excelente servicio. Buena propuesta de comida japonesa."
"Gamberro","Muy bueno","Tiene una carta pequeña, pero muy bien seleccionada, los panes buenos, la corvina muy buena, el lomo y las chuletas de cordero las mejores de Bogota, buenos postres muy buen servicio. la carta de vinos limitada,  1 solo vino blanco español.....teniendo influencia española el restaurante...Más"
"Piazza Italia By Storia D'amore Calle 93","Recomendado","El servicio muy bueno. La pizza deliciosa, la masa es gruesa pero delicada y suave. Los precios son un poco altos pero para una ocasión especial está bien."
"Osaki 71","El bowl callejero es mundial","Vivo en Bogotá y Osaki es un sitio que frecuento bastante. Últimamete añadieron un plato que se llama bowl callejero. Es tan delicioso que me vi obligado a entrar a Tripadadvisor a recomendarlo. Delicioso."
"El Mono Bandido","Súper!!","Buen ambiente y buena cerveza!! Recomendable 100% el de chapinero!! Me encanto la Amber y la música muy buena"
"WOK Zona T","Cocina pan-asiática en un ambiente moderno","He estado en wok en varios lugares El servicio es muy buena, así como la calidad de la comida. El pad thai es deliciosa; sabe como si utilizan tamarindo fresca, lo que marca una gran diferencia. Otras opciones al sur de asia también son buenas,...pero no picante, asienten con la cabeza a las preferencias locales. Los batidos de fruta son deliciosos, especialmente la limonada de menta, y el increíble bebida açai mango.Más"
"La Provence de Andrei","Volveré!","Fui con mi pareja a celebrar una noche romántica y me agrado desde el principio el ambiente, pedimos un portobello, mi pareja pidió un coq au vin el cual me pareció delicioso, y gracias al restaurante por tener personal que habla inglés,ya que mi pareja...Más"
"La Mar","Fabuloso","El sitio es estupendo, el ambiente, la iluminación, la decoración, los espacios. todo está resuelto para pasar un rato excepcional. El tiempo se detiene.
La carta está bien lograda y los platos son exquisitos.
Me encantó y voy a volver"
"La Fabbrica","Delicioso","El ambiente del último piso es muy romántico. La comida es deliciosa y los panes recién horneados complementan muy bien los platos."
"Brisa Marina","Delicioso siempre que voy!","A mi familia y a mi nos gusta bastante ir a Brisa Marina por su buen pescado! La Mojarra es mi plato preferido, lo súper recomiendo."
"Mediterránea de Andrei","Cena","Excelente comida, buen ambiente y servicios :) volveré :) El propietario se tomó el tiempo para llegar a conocer a nosotros como personas."
"La Jugueteria","Cumpleaños","Muy buena la comida, la atención de Jesús muy buena y el sitio es muy lindo. Recomendado para venir otra vez."
"Circo Terraza Zona G","Fui a Circo y fue increíble, la atención y el servicio de Milagros la mesera fueron maravillosos. La comida estuvo deli","La comida y el servicio fueron increíbles. Desde las entradas hasta el postre. El servicio de la mesera fue increíble quien estuvo dispuesta a ayudar,sugerir y con el mejor ánimo. El cumpleaños de mi mamá a sido inolvidable debido a esto. Muchas gracias Circo!Más"
"Santa Costilla","10/10 en costillas","Excelentes costillas, suaves, exquisitas. Las yuquitas de acompañamiento y la ensalada buenas. Las limonadas buenas. Buen ambiente. Buen servicio. He vuelto muchas veces y seguiré yendo. También he pedido a domicilio y todo bien."
"Tienda de Cafe","delicioso","es un poco costoso pero vale la pena, la atencion es maravillosa y el local esta decorado muy lindo, la comid es fenomenal, recomiendo el plato marrano volador"
"Cantina La 15 Bogotá","Celebración Cumpleaños","Excelente servicio, la comida y los cócteles maravillosos. El espacio magnífico, una experiencia inolvidable y definitivamente volvería.

El ambiente para compartir en familia o amigos. Muy recomendado."
"Upper Side 81St Street","Excelente restaurante","Upper Side es un restaurante excelente. La comida es deliciosa, el servicio atento y muy rápido. Tener en cuenta que los precios pueden ser un poco elevados, pero justos para la atención y la experiencia recibida. Muy recomendado."
"Prudencia","Divinamente sorprendente","Por favor si estás en Bogotá regalaré un almuerzo en Prudencia.  Es todo una experiencia.  Yo pedí el menú Vegetariano y la verdad estaba de escándalo.   Me encanto. La atención. Fue fantástica y me encanto ver al equipo de trabajo en la cocina, era como...Más"
"Crepes & Waffles","Maldita sea mejor helado. Período","Todas las mujeres en la cocina todo el tiempo. pemienta lomeinto en el tazón de pan que Panera celosos. mejor momento para 10 a 10Â° del precio. Terminar con helado. Comí aquí en mi cumpleaños, y tiene fácilmente convertido en mi lugar favorito en el...planeta para una cena con unas personas increíbles posibilidades de observar.Más"
"Mi Calle","A lo mexicano","La comida mexicana es muy buena, pero sabe mejor si se disfruta en Mi calle. Este restaurante me gusta porque aparte de disfrutar de una excelente comida, te ofrecen show de mariachis en vivo y muchos sabores de cocteles."
"Leo","Una de las mejores comidas jamás","Si Michelin no era tan Euro-céntrico y apretado assed - este maravilloso lugar sin presumir, como muchas estrellas de la bandera de estados unidos. Mis amigos y yo tuvimos una de las mejores comidas que recuerdo (y no estoy consiguiendo menores). Fue creativa, atractivamente creativo,...exquisitamente presentado y tan brillantemente presentó que viven en mi memoria durante mucho tiempo. No puedo repetir el razonamiento y la poesía detrás de cada plato, así detallada y original fueron los ingredientes. Este lugar y las actividades de su dueño y chef, el más grande de la vida Leo, un esfuerzo masivo en representan un legado colombiano recuperando gastronómica y cultural perdido a través de los siglos de dominación europea.

No me arrepiento de grabación el maitre de palabras como él estaba explicando en su canto de acento Caribe colombiano. Sólo tengo el recuerdo de algunas fotos. Y la entrada en mi tarjeta de crédito. No es barato por ningún medio (especialmente si alguien pedidos franceses en contraposición a decir vino chileno! ), pero vale la pena cada céntimo. Muy recomendado!Más"
"Restaurante Wok","Delicia y Consumo responsable","No imagine disfrutar una experiencia gastronómica tan placentera, la atención, la decoración y sobretodo la variedad de platos hacen de Wok, una maravilla.

Provamos muchos platos, les puedo recomendar los arroces y el sushi."
"La Chorizeria","Cena romantica","Fui con mi pafeja pase una noche muy agradable. el servicio es muy execelente y lo que mas me gusto con mi pareja fue la comida porque son platos frescos y deliciosos el cual me animo a volver a comer alla"
"Restaurante Donde Manuel","Deliciosa Fritanga y Excelentes Sopas Tipicas.","El Pasado Domingo con motivo de la Final del Mundial de Fútbol, nos en casa para ver el Partido y decidimos que no íbamos a perder la comodidad de la misma. Entonces recordamos que relativamente cerca, unas cuadras arriba y al Norte de Plaza de...Más"
"Roxanne Gin Bar and Food","Fantástico","un lugar fantástico. Buena comida, DJ es increíble también
se lo recomendaría a cualquiera que viaje a la maravillosa ciudad de Bogotá"
"El Museo del Tequila","Cena cumpleaños","Tuve la oportunidad de ir a celebrar un cumpleaños, realizamos reserva, pero es bastante sencillo conseguir mesa en caso de no realizarla.
El restaurante ofrece de cortesía un postre al homenajeado y en necesitar decoración adicional el lugar admite realizarlo siempre y cuando se informe...Más"
"El Museo del Tequila","Todos los restaurantes mexicanos deberían ser como este ...","Mis suegros nos llevó a este lugar para celebrar el cumpleaños de mi cuñada. yo les dijo acerca de mi experiencia decepcionante en Rosa Mexicana en Nueva York la semana anterior y me aseguró que esto sería mejor. Mi experiencia anterior de restaurantes colombianos fue...que la comida está más en el lado soso. no podría haber sido más equivocados.

Esta comida en este lugar explotó con sabor. Las cantidades eran realmente buenos y fue realmente excelente relación calidad-precio. Los margheritas eran grandes y deliciosa. En la cima de que había una muy ruidosa banda Mariachi. El único inconveniente de este lugar es que estaba bastante estrecho que hicieron del comer bastante difícil y había que terminar su curso antes más comida llegamos ya había poco espacio en la mesa para atender esta situación.

Aparte de la cuestión del espacio, esto era verdaderamente un excelente restaurante y debe ser un punto de referencia para todos los restaurantes mexicanos a seguir: buenas raciones, entretenimiento barato y excelente.Más"
"Pesquera Jaramillo Santa Barbara","La Mejor comida de mar","ven y disfruta de la mejor comida de mar que puedes encontrar en bogota, la pesquera de jaramillo, el mejor restaurante de comida de mar que puedes encontrar, deliciosaaaa cazuela de mariscos y toda su variedad de comida, ven te lo recomiendo en un 100%"
"Ceviche Fusión","Muy bueno","Es un buen restaurante, tranquilo y bien ubicado. La comida es muy rica. El pescado es fresco. Recomendo los arroces. Los patacones son muy sabrosos, a mi me gustarón mucho."
"Oliveto Pizza & Pasta","Siempre salgo feliz","Este es un restaurante sobre el marco de la plaza de Usaquén que siempre me deja feliz. La pasta 3 quesos, deliciosa, y las pizzas, sin igual. Vele la pena!"
"WOK Zona T","Cena","Amplia variedad con excelente sabor en un muy buen ambiente. Para venir en familia y amigos.  Atención rápida y con mucha educación."
"Antica Ristorante","Comida excelente y variada. Pasta, pizza y carpaccio perfectos","Comida excelente. Es un restaurante ítaliano peruano. Aunque el lugar no se ve tan Gourmet desde afuera, la variedad de la carta, la amabilidad de los meseros y el servicio es muy bueno. Las mesas son amplias. En cuanto a pasta se puede escoger el...Más"
"Fish Place","DELI!!!!","Un buen sitio para arlmorzar, la atencion es demorada, no puedes ir a este sitio con afan, debes disponer de por lo menos 1 hora y media en promedio"
"mister ribs","las mejores costillas de colombia","A los que les gusta la Calidad y Cantidad, vayan a Mister Ribas, 2 cuadras subiendo por el CC Andino en la zona rosa, frente al Rest. Gran Colombia, un rack para 2 personas, 1 sola noi puede con tanta carne y te ponen delantal...Más"
"Entre Cuates","Muy excelente todo","Fui con mi grupo de amigas a un reencuentro y la verdad a pesar de lo lleno que estaba el restaurat nos trataron como una reinas a todas, nos fuimos super complacidas, con ganas de regresar, el servicio demasiado bueno, son muy amables, gentiles y...Más"
"Tanoshii Asian Cuisine & Lounge Bar","Para iniciarse en la preparación del sushi","Los felicito porque aparte del excelente restaurante, la música en vivo del lugar, y Alex quien nos atendió en la barra de sushi fue una noche maravillosa, el concepto de la preparación en vivo permite apreciar la técnica en la elaboración de este delicioso plato,...Más"
"La Chorizeria","Exquisito","Desde la llegada fue una experiencia diferente, se puede percibir el esmero por la atención al cliente, y al degustar los platos  apreciamos la calidad tanto de los productos que utilizan como la excelente presentación. Ademas cuenta con música en vivo que hace que le...Más"
"Sanalejo Café Restaurante","Muy buenl","Tuve mucha suerte los días que visite Bogotá, fui a este lugar en varias ocasiones a comer y simplemente la comida estaba deliciosa, además el lugar es acogedor y en los momentos de mayor frío prenden la chimenea generando un ambiente muy relajante, recomendado."
"La Ventana restaurante","Excelente brunch!","El domingo pasado hice una reserva para el brunch en La Ventana. Me esperaba un brunch de alta calidad. Pero mis expectativas eran altamente superadas. Primero tengo que resaltar el excelente servicio y atención de Juan Carlos. Que siempre fue atento y servicial. Además, aunque...dejó por unos minutos, que nos dejó en manos de Juliana, que también era muy agradable y amable. Por otro lado, la comida era deliciosa, bien presentado y organizado. El mimosa era genial! ! ! Creo que el mejor que he probado en un brunch. El ambiente era genial también con música en vivo, perfecto para compartir una mañana/tarde con la familia. En general un excelente brunch! Muchas gracias a todo el personal por el buen momento que pasamos.Más"
"Petronio Cocina de Autor","Pre Wedding","la comida muy rico y la experiencia unica!
Muy recomendado 

Osnaider fue muy atento y espero regresar"
"Leo","Una delicia","Hace 3 dias me invitaron a este restaurante con un menú ya establecido.  El lugar es muy agradable acojedor, La atención de primera.  Hubo varios entradas para ir abriendo el apetito, uno mejor que el otro.  Comi un róbalo con calamar y arroz con coco...Más"
"Chorilongo","Las mejores hamburguesas","Chorilongo ha estado dentro de los mejores lugares en el Burguer Master, la Rocky Balboa es la mejor. Las papas que la acompañan y la salsa son la mejor combinación. 
Por cierto, el precio es adecuado y el servicio es bueno."
"Kathmandu","Excelente ambiente y comida","Muy bueno 100% recomendado. La comida muy rica mejor aún el ambiente. Adicionalmente el restaurante es también una galería por lo que puedes comprar cosas para decorar tu casa. Los show de danza arabe son muy buenos y originales"
"Chopinar","sabor","que delicioso sabor que tiene la comida aqui y tiene varias sedes en la ciudad que permite visitarlo a cualquier hora, con parqueadero vigilado gratis"
"Mesa Franca","Restaurante con comida increíble barrio!","He estado en todos los restaurantes en Bogotá, pero no conocía la más local, lugares cercano,. Amigos locales me invitaron a unirme a ellos en Mesa franca, y wow, me quedé asombrado! Excelente comida, excelente servicio y precios razonables."
"Restaurante Mi Perú","Muy buen restaurante a un muy buen precio","Excelente restaurante con un muy buen servicio, la comida deliciosa y en una buena cantidad... Conclusión: Recomendado y volveré..."
"El Chalet Suizo","Buenos precios y servicio","La calidad de la comida es indiscutible, aunque tienen una carta algo antigua que no han modernizado, los platos ofrecidos y el servicio merecen la pena de visita, en pareja es muy acogedor el lugar, recomiendo los medallones de lomito al vino, son increibles, el...Más"
"Chalet Suizo Usaquen","Delicioso","Excelente opción, el fondue es muy bueno, excelente variedad y la atención fantástica. La ubicación es perfecta.
Lo recomiendo al 100%."
"Suna Restaurante y Mercado","Lo amé!","Me encantó fui con unas amigas y mi sobrina de 13 meses. Todas pedimos combo de sopa con sándwich. Mi recomendado sopa de tomate y sándwich de pollo criollo con pesto. El pan estaba perfecto, tostado por fuera y suave por dentro. Los jugos también...Más"
"Rosita Restaurante Café","La Plaza del Chorro de Quevedo y Restaurante Rosita","La Plaza del Chorro de Quevedo es mágica! Una noche limpia, con un cuentero callejero y disfrutando de la novena de navidad. Hermoso! Vi mucha seguridad y eso me complace en mi ciudad. Y mas tarde en el Restaurante Rosita, disfrutamos de unos patacones con...Más"
"El Cielo Bogota","El cielo en Bogotá","Es un sitio con magia, un muy buen menú de degustación, una fiesta de sabores y sensaciones... Definitivamente una experiencia sensorial que hay que vivir."
"Black Bear","Excelente comida en un entorno agradable","Este es un popular conjunta para la gente de moda en Bogotá. Tiene buena comida y bebidas. Está situado en un jardín que es divertido, pero puede hacer fresquito."
"Cantina La 15 Bogotá","Felicidad por el ambiente, combinacion de musica y en vivo. Rica la comida y excelente atencion","Atencion de Danilo. Excelente.

Felicidad por el ambiente, combinacion de musica y en vivo. Rica la comida y excelente atencion"
"Cerveceria Irlandesa","Agradable lugar","Es un sitio muy agradable, buena música, lo que más me gustó fue el servicio, el chico que nos atendió fue muy amable, nos dio una cortesía por el cumpleaños de mi novio. El postre delicioso. Es un sitio para tomar o comer algo con...Más"
"La Provence de Andrei","Comida francesa casera","Excelente restaurante, muy buena atención y sus platos tienen un sazón más suave que el francés qué llega a todos los paladares 
Se siente uno en la campiña 
Además la decoración acorde con la comida"
"La Mar","Muy chido!!!","Los chavos son muy amistosos,la atención en colombia es única,la pasamos de lujo,comimos muy delicioso,un sitio maravilloso,espacios amplios de casona"
"Gamberro","Ambiente y atención de lo mejor!!! Recomendadisimo...","Es un lugar ideal para tomarse un buen coctel y entradas deliciosas!!!

La atención es tranquila y muy amable, Mauricio nos atendió en esta visita, gracias por su gentileza!

Perfecto para tomarse un trago con amigos o compartir una comida deliciosa en familia.

Recomendados el...Más"
"Café Bar Universal","Fantastico!","Llegamos y habían cedido nuestra reserva xq habíamos llegado tarde. No obstante, nos sentaron en la barra, nos ofrecieron un cóctel mientras se desocupaba una mesa.
Un vez había una mesa libre, ellos se encargaron de llevarnos nuestras bebidas a la mesa.
Eramos 6 personas...Más"
"Storia D'amore - Zona T","Fuimos a celebrar mi grado","Nos atendio Diego y fue excelente, la comida deliciosa. Es un lugar perfecto para celebrar una ocasión especial"
"The Pub La Candelaria","Día de almuerzo","Me encantó la nueva receta de la hamburguesa con su queso paipa es excelente y el servicio estuvo genial, super recomendado."
"Wok","Buena comida, buen ambiente","Me apetecía sushi y comida china, pero acabamos cogiendo tailandés mientras estábamos allí. Ja, ja ja. El menú es una revista actual llena de opciones asiáticas diferentes para elegir. Tanto así que tendrás un duro tiempo elegir. Sin embargo, todo lo que comimos estaba absolutamente...deliciosa, aunque tengo que admitir que estaba un poco en el lado dulce. También estoy pensando que estaban fuera de pimientos calientes cuando fuimos porque no había spice/calor en cualquiera de nuestros platos. Tuve la papaya Verde (una Somtum ensalada) y Pad Thai con pollo y mi padre tenía el Nasi Goreng. Prepárate para estar muy asiático si decides ir por dentro ya que hay en su mayoría mesas largas para que todo el mundo pueda sentarse juntos.Más"
"Salto del Angel","Para no olvidar","Excelente, lugar, a diferencia de otros conoci este lugar porque la empresa en la que trabajo, realizo la despedida de fin de año en este lugar y woao!! excelente, el personal, la locación, los baños, varios ambientes, realmente me encanto, inolvidable!"
"Mi Gran Parrilla Boyacense","Delicioso","Los platos son deliciosos y abundantes. Cuando pedimos entradas generalmente dejamos algo del plato principal. Las carnes en adecuado punto de cocción. El jugo de mango en leche espectacular."
"Casa Vieja Restaurantes","Un bonito lugar en el medio de la ciudad","Fuimos a uno en Carrera 10, enfrente del Museo principal en Bogotá. Fue una experiencia realmente agradable. el almuerzo, con un montón de comida local para escoger de, que hacen cada especialidades de región! El personal era agradable, pero un poco lento, la ubicación es...muy céntrica, pero este lugar es como un oasis tranquilo en el medio de la crazyness! 
El ambiente era relajado y tranquilo, con montones de las comidas tener locales con amigos o. Los precios negocios no es barato, pero la calidad es alto, así que es de esperar.Más"
"La Fonda Mexicana","Súper recomendable!","Excelente comida y atención! Aunque pequeño muy acogedor y los precios maravillosos 
Súper recomendable, se come auténtica comida mexicana a muy buenos precios.
Además la carta es muy variada"
"Cacio & Pepe Taverna Italiana","Descrestador","El lugar inmejorable polenta en su punto tortellini de ahuyama increíble descrestante napoleon de manzana absurdo abslolutamente recomendado!"
"Cantina La 15 Bogotá","Excelente comida, excelente servicio, y excelente ambiente","Fui a celebrar un cumpleaños con mi familia, todos los platos deliciosos, atención rápida, y excelente ambiente de música y decoración"
"Inkanto Peruvian Cuisine C.C Multiplaza","Celebracion","Agradable ambiente y la comida excelente  buena atencion, las instalaciones muy acogedoras, el servicio bueno"
"Mi Gran Parrilla Boyacense","Delicioso y excelente servicio","Exquisito y es increíblemente rápido y muy eficiente el servicio
Los precios son accequibles y la comida es deliciosa"
"La Vecindad - Mexican Grill","Los platos nuevos están buenísimos","La calidad de la comida es excelente, es un lugar muy acogedor para compartir y celebrar en familia o con los amigos. Buen servicio, los meseros son muy amables y la cantada de cumpleaños es genial con baile y todo! Estuvimos probando los platos nuevos...Más"
"Juana la Loca","tesoro inesperado en el medio del distrito de negocios","El restaurante está ubicado en un edificio de negocios pero una vez encontrado ofrece comida exclusiva con un toque Mediterráneo. La decoración es de nivel muy superior y pasando la cocina para entrar a la zona principal del comedor es inesperado pero también muy guay....La comida era excelente.Más"
"La Ventana restaurante","Maravilloso buffete al desayuno","Un buffete con de todo un poco: pandebonos, arepas, achiras, todas las delicias locales. 

Hay diferentes opciones cada dia de jugos, quesos y frutas, algo que no pasa en otros buffetes al desayuno donde todos los dias son iguales.

El servicio excelente, Oscar nos atendio...Más"
"Casa Santa Clara","1 de los dos Restaurantes de Monserrate","La comida deliciosa y no fue cara! la vista del restaurante sigue siendo impresionante. Recomendado por calidad, por precio y por servicio"
